"Name","State","METHOD.METHOD_NAME","Tags","Created","Runtime","SOLVER.BASE_LR","SOLVER.MOMENTUM","SOLVER.OPTIMIZING_METHOD","OUTPUT_DIR","SOLVER.NESTEROV","adhoc_users_aggregate/train_action_batch/AG_cumul/mean","adhoc_users_aggregate/train_noun_batch/AG_cumul/mean","adhoc_users_aggregate/train_verb_batch/AG_cumul/mean","adhoc_users_aggregate/train_action_batch/AG_cumul/SE","adhoc_users_aggregate/train_noun_batch/AG_cumul/SE","adhoc_users_aggregate/train_verb_batch/AG_cumul/SE","adhoc_users_aggregate/user_aggregate_count","User","Notes"
"Finetuning_2022-09-14_19-14-54_UIDa13d9e4e-aaaf-424a-8510-0afced5d247f_MATT","finished","Finetuning","","2022-09-15T02:37:50.000Z","13354","0.001","0.9","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-13_18-41-23_UIDf06876a4-5df0-4a3e-8ee6-0d8d2ef69776","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_19-11-22_UIDc6c7cbb5-bcbc-42d6-8b13-b86d1d5cd585_MATT","finished","Finetuning","","2022-09-15T02:33:58.000Z","13628","0.001","0.3","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-13_09-35-20_UID15afc9c2-2463-47fa-b6f9-59930f45a628","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_19-12-06_UID47e8a6b7-cd84-44c4-9809-b97afbd66b75_MATT","finished","Finetuning","","2022-09-15T02:35:03.000Z","6668","0.01","0.6","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-17-06_UID7cbb3ae5-9ea5-429f-be0b-0308e7310316","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_19-11-58_UID9ed78b43-be80-459b-b28e-5c7833965fb8_MATT","finished","Finetuning","","2022-09-15T02:34:10.000Z","6564","0.1","0.6","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-07-47_UID3570828c-3aa7-4983-ab21-d75dfbdb4226","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_16-58-47_UIDf7567cb9-d144-47fa-92e5-96780e2384b7_MATT","finished","Finetuning","","2022-09-15T00:15:36.000Z","6017","0.1","0.6","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-07-47_UID3570828c-3aa7-4983-ab21-d75dfbdb4226","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_16-59-08_UID5f749b66-c6ba-4b74-b49b-8fa7bbcf3e4f_MATT","finished","Finetuning","","2022-09-15T00:11:31.000Z","7524","0.01","0.6","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-17-06_UID7cbb3ae5-9ea5-429f-be0b-0308e7310316","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_16-54-11_UID92dd952b-bbf8-404c-b6b1-72fca485ee0b_MATT","finished","Finetuning","","2022-09-15T00:09:47.000Z","6549","0.01","0.3","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-13_09-35-13_UID816d4af0-a434-4189-806a-4df2a917d615","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_16-53-43_UIDd320d032-1a77-4eb3-87aa-128fe1258b93_MATT","crashed","Finetuning","","2022-09-15T00:09:36.000Z","6733","0.1","0.3","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-13_09-34-51_UID819b79e9-031e-4695-9d61-1d8f7dd89d50","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_16-52-32_UIDaeff639f-f857-486b-abc8-3637b5060296_MATT","crashed","Finetuning","","2022-09-15T00:03:21.000Z","7081","0.01","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_10-53-52_UID958392f7-c477-4a09-a7ac-c72cc81251c2","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_16-52-42_UID697a570b-6a4e-4eb9-9cba-48a458623395_MATT","crashed","Finetuning","","2022-09-15T00:07:46.000Z","6844","0.001","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_09-33-53_UIDa6fe4344-2d3e-4d95-9b80-bcc5005eba30","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_16-33-46_UIDf064a606-b95f-4d23-8472-2a6cdd41842d_MATT","finished","Finetuning","","2022-09-14T23:39:33.000Z","669","0.01","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_10-53-52_UID958392f7-c477-4a09-a7ac-c72cc81251c2","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_16-31-04_UIDdbc4ceb4-d349-466d-b1ce-f35a7a74790b_MATT","crashed","Finetuning","","2022-09-14T23:32:00.000Z","52","0.01","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_10-53-52_UID958392f7-c477-4a09-a7ac-c72cc81251c2","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-14_15-49-45_UID6db59eb5-9462-4475-9df5-e430d586fde2_MATT","crashed","Finetuning","","2022-09-14T22:55:30.000Z","11172","0.1","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_09-33-33_UIDf1d94198-7bae-4ba6-ac99-a13c24c3fb14","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_19-07-26_UID7a704cbc-9dd8-41c5-887c-83b64a81b5e7_MATT","finished","Finetuning","","2022-09-14T02:24:35.000Z","30468","0.1","0.6","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=False/2022-09-13_19-07-26_UID7a704cbc-9dd8-41c5-887c-83b64a81b5e7","false","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_19-06-06_UIDa5593593-060e-486e-a66c-bee13635f170_MATT","finished","Finetuning","","2022-09-14T02:21:55.000Z","30296","0.001","0.3","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=False/2022-09-13_19-06-06_UIDa5593593-060e-486e-a66c-bee13635f170","false","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_18-43-39_UIDf99d1b24-9949-4ca3-b99d-2d38a9f0d94f_MATT","finished","Finetuning","","2022-09-14T01:59:22.000Z","30895","0.01","0.3","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=False/2022-09-13_18-43-39_UIDf99d1b24-9949-4ca3-b99d-2d38a9f0d94f","false","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_18-41-04_UIDb7144f28-120f-4cfc-bfb8-f3767fa47de5_MATT","finished","Finetuning","","2022-09-14T01:55:17.000Z","31149","0.01","0.9","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-13_18-41-04_UIDb7144f28-120f-4cfc-bfb8-f3767fa47de5","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_18-40-18_UID095b218d-1de1-468a-b8b9-8891f4fc358f_MATT","finished","Finetuning","","2022-09-14T01:53:51.000Z","22668","0.1","0.9","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-13_18-40-18_UID095b218d-1de1-468a-b8b9-8891f4fc358f","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_18-43-04_UIDfeb4e39f-a014-4021-88b7-28622be7a7c6_MATT","finished","Finetuning","","2022-09-14T01:58:41.000Z","22543","0.1","0.3","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=False/2022-09-13_18-43-04_UIDfeb4e39f-a014-4021-88b7-28622be7a7c6","false","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_18-41-23_UIDf06876a4-5df0-4a3e-8ee6-0d8d2ef69776_MATT","finished","Finetuning","","2022-09-14T01:56:30.000Z","22639","0.001","0.9","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-9_SOLVER-NESTEROV=True/2022-09-13_18-41-23_UIDf06876a4-5df0-4a3e-8ee6-0d8d2ef69776","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_11-07-47_UID3570828c-3aa7-4983-ab21-d75dfbdb4226_MATT","finished","Finetuning","","2022-09-13T18:09:13.000Z","108988","0.1","0.6","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-07-47_UID3570828c-3aa7-4983-ab21-d75dfbdb4226","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_11-21-41_UID90dc9916-8bf1-42b2-aeca-867e5ac87c8b_MATT","finished","Finetuning","","2022-09-13T18:23:32.000Z","70663","0.001","0.6","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-21-41_UID90dc9916-8bf1-42b2-aeca-867e5ac87c8b","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_11-17-06_UID7cbb3ae5-9ea5-429f-be0b-0308e7310316_MATT","finished","Finetuning","","2022-09-13T18:18:39.000Z","70743","0.01","0.6","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-6_SOLVER-NESTEROV=True/2022-09-13_11-17-06_UID7cbb3ae5-9ea5-429f-be0b-0308e7310316","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_10-53-52_UID958392f7-c477-4a09-a7ac-c72cc81251c2_MATT","finished","Finetuning","","2022-09-13T17:55:20.000Z","69778","0.01","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_10-53-52_UID958392f7-c477-4a09-a7ac-c72cc81251c2","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_09-33-33_UIDf1d94198-7bae-4ba6-ac99-a13c24c3fb14_MATT","finished","Finetuning","","2022-09-13T16:34:23.000Z","29385","0.1","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_09-33-33_UIDf1d94198-7bae-4ba6-ac99-a13c24c3fb14","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_09-35-20_UID15afc9c2-2463-47fa-b6f9-59930f45a628_MATT","finished","Finetuning","","2022-09-13T16:37:57.000Z","18535","0.001","0.3","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-13_09-35-20_UID15afc9c2-2463-47fa-b6f9-59930f45a628","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_09-35-13_UID816d4af0-a434-4189-806a-4df2a917d615_MATT","finished","Finetuning","","2022-09-13T16:37:36.000Z","19343","0.01","0.3","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-01_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-13_09-35-13_UID816d4af0-a434-4189-806a-4df2a917d615","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_09-34-51_UID819b79e9-031e-4695-9d61-1d8f7dd89d50_MATT","finished","Finetuning","","2022-09-13T16:36:58.000Z","19152","0.1","0.3","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-1_SOLVER-MOMENTUM=0-3_SOLVER-NESTEROV=True/2022-09-13_09-34-51_UID819b79e9-031e-4695-9d61-1d8f7dd89d50","true","","","","","","","","matthiasdelange","-"
"Finetuning_2022-09-13_09-33-53_UIDa6fe4344-2d3e-4d95-9b80-bcc5005eba30_MATT","finished","Finetuning","","2022-09-13T16:34:43.000Z","19063","0.001","0","sgd","/home/matthiasdelange/sftp_remote_projects/ContextualOracle_Matthias/exps/ego4d_action_recog/final01_01_finetuning_sgd/../../../results/ego4d_action_recog/final01_01_finetuning_sgd/logs/GRID_SOLVER-BASE_LR=0-001_SOLVER-MOMENTUM=0-0_SOLVER-NESTEROV=True/2022-09-13_09-33-53_UIDa6fe4344-2d3e-4d95-9b80-bcc5005eba30","true","","","","","","","","matthiasdelange","-"
